"Identifiant technique de la structure","Raison sociale site","Enseigne commerciale site","Complément destinataire (coord. structure)","Complément point géographique (coord. structure)","Numéro Voie (coord. structure)","Indice répétition voie (coord. structure)","Code type de voie (coord. structure)","Libellé type de voie (coord. structure)","Libellé Voie (coord. structure)","Mention distribution (coord. structure)","Bureau cedex (coord. structure)","Code postal (coord. structure)","Code commune (coord. structure)","Libellé commune (coord. structure)","Code pays (coord. structure)","Libellé pays (coord. structure)","Téléphone (coord. structure)","Téléphone 2 (coord. structure)","Télécopie (coord. structure)","Adresse e-mail (coord. structure)","Code Département (structure)","Libellé Département (structure)","Ancien identifiant de la structure","Autorité d'enregistrement","Code secteur d'activité","Libellé secteur d'activité","Code section tableau pharmaciens","Libellé section tableau pharmaciens","Code rôle","Libellé rôle","Code genre activité","Libellé genre activité",
F010000214,"CH PUBLIC HAUTEVILLE - UNITE ALBARINE",,,,,,AV,Avenue,"FELIX MANGINI","BP 41","01110 PLATEAU D HAUTEVILLE",01110,01185,"Plateau d'Hauteville",,,0474408169,,,,,,1010000214,//ARS,SA01,"Etablissement Public de santé",,,FON-33,"Salarié en poste fixe",GENR01,"Activité standard de soin ou de pharmacien",
F010000495,"CENTRE PSYCHOTHERAPIQUE DE L'AIN",,,,,,AV,Avenue,"DE MARBOZ",,"01012 BOURG EN BRESSE CEDEX",01012,01053,Bourg-en-Bresse,,,0474522911,,0474522899,,,,1010000495,//ARS,SA03,"Etab. Privé PSPH",,,FON-33,"Salarié en poste fixe",GENR01,"Activité standard de soin ou de pharmacien",
F010001261,"ESAT LES BROSSES",,,,,,,,,"LES BROSSES","01560 VERNOUX",01560,01433,Vernoux,,,0474470470,,0474470361,,,,1010001261,//ARS,SA16,"Etab. pour Handicapés",,,312,"Autre professionnel",GENR12,"Encadrement et orga accompagnt social/médico-soc",
F010001295,"PREVENTION SPECIALISEE - ADSEA",,,,526,,R,Rue,"PAUL VERLAINE",,"01960 PERONNAS",01960,01289,Péronnas,,,0474321161,,0474326554,,,,1010001295,//ARS,SA20,"Etab. Protection Enfance",,,FON-33,"Salarié en poste fixe",GENR01,"Activité standard de soin ou de pharmacien",
F010001436,"SSIAD DU CHAVS - PONT DE VEYLE",,,,,,R,Rue,"PIERRE GOUJON","BP 68","01290 PONT DE VEYLE",01290,01306,Pont-de-Veyle,,,0385368607,,0385239077,,,,1010001436,//ARS,SA41,"Autre secteur d'activité",,,FON-33,"Salarié en poste fixe",GENR01,"Activité standard de soin ou de pharmacien",
F010001733,"LBM CROIX BLANCHE BOURG EN B",,,,51,,AV,Avenue,"AMEDEE MERCIER",,"01000 BOURG EN BRESSE",01000,01053,Bourg-en-Bresse,,,0474452636,,0474247654,,,,1010001733,//ARS,SA29,LABM,,,FON-33,"Salarié en poste fixe",GENR01,"Activité standard de soin ou de pharmacien",
F010001741,"FAM PRE LA TOUR",,,,,,RTE,Route,"DU BOURG",,"01630 ST JEAN DE GONVILLE",01630,01360,Saint-Jean-de-Gonville,,,0450564908,,0450564929,,,,1010001741,//ARS,SA16,"Etab. pour Handicapés",,,312,"Autre professionnel",GENR08,"Activité de coordination et d'orientation",
F010002079,"SESSAD BELLEVUE LES ESSENTIELS",,,,18,,R,Rue,"JEAN CLAUDE RACCURT",,"01120 DAGNEUX",01120,01142,Dagneux,,,0472259167,,0478061431,,,,1010002079,//ARS,SA16,"Etab. pour Handicapés",,,312,"Autre professionnel",GENR09,"Administratif ou orga accompagnt social/médico-soc",
F010002129,"CLINIQUE LES ARBELLES",,,,554,,R,Rue,"LEOPOLD LE HON","LES ARBELLES","01000 BOURG EN BRESSE",01000,01053,Bourg-en-Bresse,,,0474255151,,0474450961,,,,1010002129,//ARS,SA04,"Etab. Privé Non PSPH",,,FON-33,"Salarié en poste fixe",GENR01,"Activité standard de soin ou de pharmacien",
F010002160,"LBM NOVELAB MONTREVEL EN BRESSE",,,,,,RTE,Route,"DE MÂCON","LES LUYERS","01340 MONTREVEL EN BRESSE",01340,01266,Montrevel-en-Bresse,,,0474308870,,0474308853,,,,1010002160,//ARS,SA25,"Laboratoire de biologie médicale (LBM)",,,FON-33,"Salarié en poste fixe",GENR01,"Activité standard de soin ou de pharmacien",
F010002228,"EHPAD L'AMBARROISE AMBERIEU",,,,58,,AV,Avenue,"PAUL PAINLEVE",,"01500 AMBERIEU EN BUGEY",01500,01004,Ambérieu-en-Bugey,,,0474461111,,0474461110,,,,1010002228,//ARS,SA17,"Etab. Personnes Agées",,,FON-33,"Salarié en poste fixe",GENR01,"Activité standard de soin ou de pharmacien",
F010002244,"CATTP AGORA",,,"3 & 5 BD JULES FERRY",,,BD,Boulevard,"JULES FERRY",,"01000 BOURG EN BRESSE",01000,01053,Bourg-en-Bresse,,,0474522748,,,,,,1010002244,//ARS,SA03,"Etab. Privé PSPH",,,FON-33,"Salarié en poste fixe",GENR01,"Activité standard de soin ou de pharmacien",
F010002251,"HDJ ADULTES CHATILLON",,,"289 A AVENUE DUBANCHET",,,,,,,"01400 CHATILLON SUR CHALARONNE",01400,01093,Châtillon-sur-Chalaronne,,,0474522406,,,,,,1010002251,//ARS,SA03,"Etab. Privé PSPH",,,FON-33,"Salarié en poste fixe",GENR01,"Activité standard de soin ou de pharmacien",
F010002269,"SSIAD MIRIBEL",,,,1820,,,,"GRANDE RUE",,"01700 MIRIBEL",01700,01249,Miribel,,,0478552553,,0478551874,,,,1010002269,//ARS,SA41,"Autre secteur d'activité",,,FON-33,"Salarié en poste fixe",GENR01,"Activité standard de soin ou de pharmacien",
F01000228501032021,"NOUVELLE PHARMACIE DU CHAMP DE MARS",,,,9,,R,Rue,"ALEXANDRE BERARD",,"01500 AMBERIEU-EN-BUGEY",01500,01004,Ambérieu-en-Bugey,99000,France,0474380226,0612180862,0474382135,phie.pasqualini@wanadoo.fr,,,1010002285,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F01000230119072021,"GRANDE PHARMACIE D'AMBERIEU CENTRE",,,,39,,R,Rue,"ALEXANDRE BERARD",,"01500 AMBERIEU-EN-BUGEY",01500,01004,Ambérieu-en-Bugey,99000,France,0474350415,,,grandepharmacieamberieucentre@gmail.com,,,1010002301,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F010002319,"IEM LE CORYPHEE",,,,151,,R,Rue,"MARCEL PAGNOL",,"01440 VIRIAT",01440,01451,Viriat,,,0474246254,,0474227783,,,,1010002319,//ARS,SA16,"Etab. pour Handicapés",,,FON-33,"Salarié en poste fixe",GENR01,"Activité standard de soin ou de pharmacien",
F01000233502072013,"PHARMACIE ORSET",,,,625,,AV,Avenue,"LEON BLUM",,"01500 AMBERIEU EN BUGEY",01500,01004,Ambérieu-en-Bugey,99000,France,0474380065,,0474350768,pharmacie-orset@orange.fr,,,1010002335,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F01000235001012023,"PHARMACIE DE LA GARE","PHARMACIE DE LA GARE",,,68,,AV,Avenue,"ROGER SALENGRO",,"01500 AMBERIEU-EN-BUGEY",01500,01004,Ambérieu-en-Bugey,99000,France,0474468146,,0474380624,gardette.victoria@orange.fr,,,1010002350,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F01000238415042018,"PHARMACIE VINOIS-DOLIVET","SELARL PHARMACIE VINOIS",,"BAT B - LE CLOS DES BRUY",,,RTE,Route,"DE LA MAIRIE",,"01330 AMBERIEUX-EN-DOMBES",01330,01005,Ambérieux-en-Dombes,99000,France,0474008311,,,,,,1010002384,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F01000240001062024,"PHARMACIE D'AMBRONAY","PHARMACIE D'AMBRONAY",,,112,,,,"Grand Rue",,"01500 AMBRONAY",01500,01007,Ambronay,99000,France,0474381803,,,pharmacie.ambronay@gmail.com,,,1010002400,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F01000243408042019,"PHARMACIE GROSS","SARL GABRIELLE GROSS",,"CENTRE COMMERCIAL GEANT CASINO",,,RTE,Route,"DE DORTAN",,"01100 ARBENT",01100,01014,Arbent,99000,France,0474773819,,0474773819,,,,1010002434,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F010002459,"ENSEIS - ÉTABLISSEMENT DE L'AIN",,,,48,,R,Rue,"DU PELOUX",,"01000 BOURG EN BRESSE",01000,01053,Bourg-en-Bresse,,,0437621490,,0474217793,,,,1010002459,//ARS,SA19,"Etab. d'enseignement",,,FON-33,"Salarié en poste fixe",GENR01,"Activité standard de soin ou de pharmacien",
F01000246701042019,"SELARL TONY MENU","PHARMACIE D'ARS ET DOMBES",,,310,,R,Rue,"Jean Marie Vianney",,"01480 ARS-SUR-FORMANS",01480,01021,Ars-sur-Formans,99000,France,0474007732,,0474007845,,,,1010002467,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F01000248301062025,"PHARMACIE ARTEMARE",,,,24,,R,Rue,"DE SAVOIE",,"01510 ARTEMARE",01510,01022,Artemare,,,0479873005,,0479873629,administratif.artemare@hellopharmacie.com,,,1010002483,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F01000251701122018,"PHARMACIE M. BARDET","PHARMACIE D'ATTIGNAT",,,568,,,,"GRANDE RUE",,"01340 ATTIGNAT",01340,01024,Attignat,,,0474309060,,0970822384,,,,1010002517,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F01000253301112017,"PHARMACIE DUPARCHY","PHARMACIE DES BAGE",,,300,,RTE,Route,"de Montrevel","La Griffonnière BAGE-LA-VILLE","01380 BAGE-DOMMARTIN",01380,01025,Bâgé-Dommartin,99000,France,0385304167,,,,,,1010002533,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F01000256622101981,"PHARMACIE DOUCELANCE","PHARMACIE DE BELLIGNAT",,,3,,PL,Place,"DES ARCADES",,"01100 BELLIGNAT",01100,01031,Bellignat,99000,France,0474737916,,0474739057,,,,1010002566,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F01000258201112017,"PHARMACIE SCRIVE","PHARMACIE DE BELIGNEUX",,,87,,RTE,Route,"DE GENEVE","LA VALBONNE","01360 BELIGNEUX",01360,01032,Béligneux,99000,France,0478062147,,,,,,1010002582,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F01000261619122020,"PHARMACIE DU CREDO","PHARMACIE DU CREDO",,,2,,AV,Avenue,"mal de lattre de tassigny",BELLEGARDE-SUR-VALSERINE,"01200 VALSERHONE",01200,01033,Valserhône,99000,France,0450482726,0662092763,0450480330,pharmacie.rademakers@gmail.com,,,1010002616,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F01000263225112021,"PHARMACIE DEBOVE","PHARMACIE DU MORTIER",,,40,,R,Rue,"de la République",BELLEGARDE-SUR-VALSERINE,"01200 VALSERHONE",01200,01033,Valserhône,99000,France,0450482806,,,,,,1010002632,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F01000265715092005,"PHARMACIE MANNIER",,,,20,,R,Rue,PARMENTIER,BELLEGARDE-SUR-VALSERINE,"01200 VALSERHONE",01200,01033,Valserhône,99000,France,0450482338,,,,,,1010002657,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F01000267301022019,"PHARMACIE METROP - LATHUILIERE","GRANDE PHARMACIE DE BELLEGARDE",,,69,,R,Rue,"DE LA REPUBLIQUE",BELLEGARDE-SUR-VALSERINE,"01200 VALSERHONE",01200,01033,Valserhône,99000,France,0450480733,,,admin@grandepharmaciedebellegarde.com,,,1010002673,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F01000270701092019,"PHARMACIE  PELLEGRINI-WERLE","PHARMACIE DE LA VALSERINE",,,25,,R,Rue,"DE LA REPUBLIQUE",BELLEGARDE-SUR-VALSERINE,"01200 VALSERHONE",01200,01033,Valserhône,99000,France,0450560452,,0450566337,,,,1010002707,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F01000272301062024,"PHARMACIE  CAVAGNA",,,,61,,,,"GRANDE RUE",,"01300 BELLEY",01300,01034,Belley,99000,France,0479810035,,0412059175,pharmacie.cavagna@hellopharmacie.com,,,1010002723,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F01000275601092020,"PHARMACIE GALENUS",,,,1,,R,Rue,"DE LA REPUBLIQUE",,"01300 BELLEY",01300,01034,Belley,99000,France,0479810019,,,phie.galenus@yahoo.com,,,1010002756,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F01000277215102024,"GRANDE PHARMACIE DES TERREAUX",,,,511,,AV,Avenue,"Charles de Gaulle",,"01300 BELLEY",01300,01034,Belley,99000,France,,,,,,,1010002772,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F010002798,"GRETA DE L'AIN",,,"LYCÉE J.M. CARRIAT",1,,R,Rue,"DE CROUY",,"01000 BOURG EN BRESSE",01000,01053,Bourg-en-Bresse,,,0474321890,,,,,,1010002798,//ARS,SA19,"Etab. d'enseignement",,,FON-33,"Salarié en poste fixe",GENR01,"Activité standard de soin ou de pharmacien",
F01000280601072017,"PHARMACIE  LLAURENS","D2L - PHARMACIE BELLEYSANNE",,,2,,BD,Boulevard,"DE VERDUN",,"01300 BELLEY",01300,01034,Belley,99000,France,0479812770,,,,,,1010002806,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F01000282201032021,"PHARMACIE DE BEYNOST",,,,5,,PL,Place,"DE LA DOMBE",,"01700 BEYNOST",01700,01043,Beynost,99000,France,0472258179,,0478555460,compta.beynost@gmail.com,,,1010002822,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F010002848,"SAMSAH CTRE RESSOURCES LESES CEREBRAUX",,,,12,,R,Rue,"DU PELOUX",,"01000 BOURG EN BRESSE",01000,01053,Bourg-en-Bresse,,,0474212680,,0474224703,,,,1010002848,//ARS,SA16,"Etab. pour Handicapés",,,312,"Autre professionnel",GENR10,"Accompagnt social/médico-soc vie sociale, pro, édu",
F01000285502102017,"PHARMACIE BLANC - JODART","PHARMACIE DE LA BOISSE",,"28 LOTISSEMENT LE VERT PRE",55,,R,Rue,"DE LA MEULE",,"01120 LA BOISSE",01120,01049,"La Boisse",99000,France,0478060197,,0478060143,pharmaciedelaboisse@offisecure.com,,,1010002855,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F01000292120012020,"PHARMACIE DE LA CROIX BLANCHE","PHARMACIE DE LA CROIX BLANCHE",,,41,,AV,Avenue,"AMEDEE MERCIER",,"01000 BOURG EN BRESSE",01000,01053,Bourg-en-Bresse,99000,France,0474222422,,,fabiennetournier@pharmaciecroixblanche.com,,,1010002921,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F01000295419062018,"PHARMACIE SIMONIN",,,"ZAC deS BELOUSES",68,,AV,Avenue,"DE PARME",,"01000 BOURG EN BRESSE",01000,01053,Bourg-en-Bresse,99000,France,"04 74 23 30 79",,,pharmaciedenorelan@gmail.com,,,1010002954,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F01000297015121988,"PHARMACIE CALMELS",,,,146,,BD,Boulevard,"DE BROU",,"01000 BOURG-EN-BRESSE",01000,01053,Bourg-en-Bresse,99000,France,0474222052,,,,,,1010002970,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F01000300227072021," PHARMACIE DES ARCADES",,,,18,,R,Rue,GAMBETTA,,"01000 BOURG-EN-BRESSE",01000,01053,Bourg-en-Bresse,,,0474235473,,0474247275,contact@pharmadesarcades.fr,,,1010003002,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F01000303615072009,"PHARMACIE BERTILLOT-RUMIANO","PHARMACIE LA REYSSOUZE ",,,17,,BD,Boulevard,"IRENE JOLIOT CURIE",,"01000 BOURG-EN-BRESSE",01000,01053,Bourg-en-Bresse,99000,France,0474452681,,,,,,1010003036,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F01000305101062018,"PHARMACIE BOURGEOIS","PHARMACIE DU PLATEAU",,,3,,AV,Avenue,"JEAN JAURES",,"01000 BOURG-EN-BRESSE",01000,01053,Bourg-en-Bresse,99000,France,0474213593,,,,,,1010003051,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F010003069,"SAVS VIVRE EN VILLE 01 BOURG-EN BRESSE",,,,14,,R,Rue,"DE LA GRENOUILLERE",,"01000 BOURG EN BRESSE",01000,01053,Bourg-en-Bresse,,,0474224967,,,,,,1010003069,//ARS,SA16,"Etab. pour Handicapés",,,312,"Autre professionnel",GENR09,"Administratif ou orga accompagnt social/médico-soc",
F01000308501122007,"PHARMACIE RICHER","PHARMACIE DU FAUBOURG ",,,12,,AV,Avenue,"DE MACON",,"01000 BOURG-EN-BRESSE",01000,01053,Bourg-en-Bresse,99000,France,0474223106,,0474225087,,,,1010003085,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F01000310128022023," PHARMACIE DU MARCHE",,,,35,,AV,Avenue,MAGINOT,,"01000 BOURG-EN-BRESSE",01000,01053,Bourg-en-Bresse,99000,France,0474232331,,,nicodach@hotmail.fr,,,1010003101,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F010003119,"SERVICE D'ACCUEIL DE JOUR EMILE BRUN",,,,14,,R,Rue,"DE LA GRENOUILLERE",,"01000 BOURG EN BRESSE",01000,01053,Bourg-en-Bresse,,,0474224967,,,,,,1010003119,//ARS,SA16,"Etab. pour Handicapés",,,324,"Moniteur éducateur",GENR10,"Accompagnt social/médico-soc vie sociale, pro, édu",
F01000315027122019,"PHARMACIE DES VENNES",,,,14,,R,Rue,MOLIERE,,"01000 BOURG-EN-BRESSE",01000,01053,Bourg-en-Bresse,99000,France,0474212019,,0472326260,,,,1010003150,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F01000318426112012,"PHARMACIE PUGEAT-GAVAND","PHARMACIE DU CARREFOUR",,,6,,R,Rue,"des prés de brou",,"01000 BOURG-EN-BRESSE",01000,01053,Bourg-en-Bresse,99000,France,0474452282,,0474451469,,,,1010003184,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F01000320019112001,"PHARMACIE BARE-CALVET","PHARMACIE BRESSANE ",,CCAL,,,R,Rue,"DU STAND",,"01000 BOURG-EN-BRESSE",01000,01053,Bourg-en-Bresse,99000,France,0474211512,,0474218142,,,,1010003200,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F010003218,"IME HENRI LAFAY",,,,1,,R,Rue,"DU DOCTEUR DUBY",,"01000 BOURG EN BRESSE",01000,01053,Bourg-en-Bresse,,,0474221332,,0474451622,,,,1010003218,//ARS,SA16,"Etab. pour Handicapés",,,FON-33,"Salarié en poste fixe",GENR01,"Activité standard de soin ou de pharmacien",
F01000326704082017,"PHARMACIE VUILLOT-DUBOZ","PHARMACIE PASTEUR",,,19,,R,Rue,"NOTRE DAME",,"01000 BOURG-EN-BRESSE",01000,01053,Bourg-en-Bresse,,,0474226750,,0474236485,,,,1010003267,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
